cheese,milk,country,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan
Aarewasser,cow,Switzerland,Cheddar,semi-soft,buttery,washed,yellow,sweet,buttery,False,False
Abbaye de Belloc,sheep,France,Cheddar,"semi-hard, artisan","creamy, dense, firm",natural,yellow,burnt caramel,lanoline,True,False
Abbot’s Gold,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,True,False
Abondance,cow,France,Cheddar,"semi-hard, artisan",creamy,natural,pale yellow,nutty,"buttery, fruity",False,False
Acorn,sheep,United Kingdom,Cheddar,"hard, artisan","crumbly, firm",washed,white,"burnt caramel, citrusy, herbaceous",fruity,True,False
ADL Brick Cheese,cow,Canada,Cheddar,semi-soft,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",False,False
ADL Mild Cheddar,cow,Canada,Cheddar,semi-hard,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",strong,False,False
Aged British Cheddar,cow,United States,Cheddar,"hard, artisan","crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",False,False
Aged Cashew & Brazil Nut Cheese,cow,United States,Cheddar,"firm, artisan","firm, spreadable",natural,brown,"creamy, nutty, sweet","nutty, rich",True,False
Aged Cashew & Dulse Cheese,"cow, goat",United States,Cheddar,"firm, artisan","firm, spreadable",natural,brown,"creamy, oceanic",rich,True,False
Aged Cashew & Hemp Seed Cheese,goat,United States,Cheddar,"firm, artisan","firm, spreadable",bloomy,brown,"creamy, mild, nutty, spicy","nutty, rich",True,False
Aged Cashew Nut & Kale Cheese,goat,United States,Cheddar,"firm, artisan","firm, spreadable",bloomy,green,"creamy, oceanic, tangy",rich,True,False
Aged Cashew Nut Cheese,cow,United States,Cheddar,"firm, artisan","firm, spreadable",mold ripened,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",True,False
Aggiano,cow,United States,Cheddar,"hard, artisan","creamy, dry",leaf wrapped,cream,"butterscotch, tangy",fruity,True,False
Ailsa Craig,goat,"Scotland, United Kingdom",Cheddar,"semi-soft, artisan","creamy, fluffy",rindless,white,creamy,goaty,True,False
Airedale,cow,New Zealand,Cheddar,"semi-soft, artisan",smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",True,False
Alex James Co. No 1 Cheddar,cow,United Kingdom,Cheddar,hard,"creamy, crumbly",rindless,yellow,sweet,aromatic,False,False
Alex James Co. No 4 Goats',goat,United Kingdom,Cheddar,fresh soft,"smooth, springy",rindless,pale white,tangy,"earthy, nutty, smokey",True,False
Alisia-Victoria,cow,Switzerland,Cheddar,firm,smooth,natural,golden yellow,buttery,nutty,True,False
Allgauer Emmentaler,cow,Germany,Cheddar,hard,firm,natural,yellow,nutty,pungent,False,False
Alma Vorarlberger Alpkäse (3-5 months),cow,Austria,Cheddar,"hard, artisan",firm,natural,yellow,"mild, spicy","mild, spicy",False,False
Alma Vorarlberger Alpkäse (6-9 months),cow,Austria,Cheddar,"hard, artisan",firm,natural,yellow,"spicy, strong","spicy, strong",False,False
Alma Vorarlberger Bergkäse (10 months),cow,Austria,Cheddar,"hard, artisan","brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False
Alma Vorarlberger Bergkäse (12 months),cow,Austria,Cheddar,"hard, artisan","brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False
Alma Vorarlberger Bergkäse (6 months),cow,Austria,Cheddar,"hard, artisan","firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,False,False
Almnäs Tegel,cow,Sweden,Cheddar,"hard, smear-ripened","open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",False,False
Alpe di Frabosa,cow,Italy,Cheddar,semi-soft,"chewy, dense",bloomy,white,bitter,"milky, mushroom",False,False
Alpha Tolman,cow,United States,Cheddar,"semi-hard, artisan","dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",True,False
Alpicrème,goat,France,Cheddar,soft,"crumbly, dense, grainy",washed,white,"herbaceous, mild, sharp, smooth, tangy",aromatic,False,False
Alps Rebel,cow,Austria,Cheddar,"semi-hard, artisan","creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",True,False
American Cheese,cow,United States,Cheddar,"semi-soft, processed",smooth,rindless,yellow,"sweet, tangy",mild,False,False
Amish Frolic,cow,United States,Cheddar,"hard, artisan","flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,False,False
Amul Processed Cheese,"cow, water buffalo",India,Cheddar,"hard, processed","crumbly, dense",artificial,yellow,"buttery, creamy, salty","fresh, herbal",True,False
Anari,"goat, sheep",Cyprus,Cheddar,"fresh soft, hard, artisan","brittle, creamy, flaky",natural,white,"creamy, mild, salty","buttery, spicy",True,False
Anniversary Ale Cheddar,cow,United States,Cheddar,"semi-hard, artisan","dense, firm",washed,white,"creamy, mild, sweet","floral, fruity",True,False
Anster,cow,Scotland,Cheddar,"semi-hard, artisan","crumbly, dry",bloomy,ivory,milky,"milky, rich",True,False
Appenzeller,cow,Switzerland,Cheddar,"hard, artisan",firm,washed,white,"fruity, nutty",strong,False,False
Apple Walnut Smoked,cow,United States,Cheddar,"hard, artisan","creamy, smooth",waxed,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",True,False
Appleby's Double Gloucester,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan","crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",True,False
Applewood,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,True,False
Ardsallagh Hard Goat's Cheese,goat,Ireland,Cheddar,"semi-hard, artisan","firm, smooth",natural,white,"nutty, salty, smooth",strong,True,False
Ardsallagh Smoked Cheese,goat,Ireland,Cheddar,"semi-hard, artisan","firm, smooth",natural,white,"mild, nutty, smokey , sweet",herbal,True,False
Armenian String Cheese,"cow, goat, sheep",Armenia,Cheddar,semi-soft,"creamy, smooth, springy",natural,white,mild,mild,True,False
Aromes au Gene de Marc,"cow, goat",France,Cheddar,"semi-soft, artisan","creamy, flaky",natural,white,strong,"fermented, pungent",False,False
Aubisque Pyrenees,"cow, sheep",France,Cheddar,semi-hard,smooth,natural,pale yellow,"mild, smooth","earthy, floral, rich",False,False
Auld Lochnagar,cow,Scotland,Cheddar,hard,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,True,False
Austrian Alps cheese,cow,Switzerland,Cheddar,soft,smooth,natural,pale yellow,"nutty, spicy","aromatic, nutty, spicy",False,False
Autun,"cow, goat",France,Cheddar,"fresh soft, artisan",creamy,rindless,white,acidic,"mild, milky",False,False
Avonlea Clothbound Cheddar,cow,Canada,Cheddar,"hard, artisan","creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory","caramel, clean, grassy",True,False
Babybel,cow,France,Cheddar,semi-hard,smooth,waxed,cream,"buttery, milky, smooth","pungent, strong",True,False
Baguette Laonnaise,cow,France,Cheddar,"soft, artisan","open, supple",washed,pale yellow,spicy,pungent,False,False
Balaton,cow,Hungary,Cheddar,semi-hard,firm,natural,pale yellow,"acidic, mild",fresh,False,False
Baluchon,cow,Canada,Cheddar,semi-soft,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",False,False
Barber's 1833,cow,England,Cheddar,hard,creamy,natural,yellow,"sweet, tangy","herbal, mushroom, stinky",True,False
Barely Buzzed,cow,United States,Cheddar,"hard, artisan","creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",True,False
Barry's Bay Cheddar,cow,New Zealand,Cheddar,"hard, artisan",creamy,cloth wrapped,white,"smokey , spicy","aromatic, nutty, yeasty",False,False
Batzos,"goat, sheep",Greece,Cheddar,semi-hard,dry,rindless,white,"piquant, salty, sour, spicy",pleasant,False,False
Bavarian Bergkase,cow,Germany,Cheddar,"hard, artisan","crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",False,False
Baylough,cow,Ireland,Cheddar,"hard, artisan","close, firm",waxed,yellow,"garlicky, herbaceous, mild, smokey","herbal, mild",True,False
Beaufort,cow,France,Cheddar,semi-firm,"creamy, smooth",natural,pale yellow,creamy,"fruity, nutty",False,False
Beaumont,cow,France,Cheddar,semi-soft,"creamy, smooth",washed,pale yellow,"salty, smokey , strong","barnyardy, earthy, mild, nutty, rich",False,False
Beauvoorde,cow,Belgium,Cheddar,semi-hard,"creamy, firm",natural,yellow,mild,spicy,False,False
Bega Processed Cheddar,cow,Australia,Cheddar,soft,"creamy, smooth",rindless,yellow,creamy,musty,False,False
Bergues,cow,France,Cheddar,semi-hard,smooth,washed,white,"subtle, sweet",aromatic,False,False
Bermondsey Hard Pressed,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan","creamy, crumbly, open",natural,yellow,"creamy, nutty",barnyardy,True,False
Bethmale des Pyrenees,cow,France,Cheddar,semi-hard,"creamy, stringy",natural,brownish yellow,mild,"aromatic, earthy, mushroom",False,False
Big John's Cajun,cow,United States,Cheddar,"hard, artisan","creamy, smooth",natural,pale yellow,"smooth, spicy","rich, spicy",True,False
Bijou,goat,United States,Cheddar,"semi-soft, artisan","creamy, smooth",mold ripened,white,"sharp, sweet, tangy, yeasty","fresh, yeasty",True,False
Bismark,sheep,United States,Cheddar,"semi-hard, artisan","crumbly, firm",rindless,yellow,"buttery, creamy, nutty, sweet, tangy","grassy, mild, nutty",True,False
Black Bomber Cheddar,cow,United Kingdom,Cheddar,hard,"buttery, compact, creamy, crumbly",rindless,yellow,"acidic, mild, milky, spicy",rich,False,False
Black Pearl,goat,Australia,Cheddar,"semi-hard, artisan",firm,ash coated,pale yellow,mild,fresh,True,False
Blaenafon Pwll Ddu,cow,Wales,Cheddar,hard,compact,natural,cream,savory,"fresh, mild, rich",True,False
Blenda,"cow, sheep",Sweden,Cheddar,"hard, artisan",smooth,natural,yellow,"acidic, fruity, mild, nutty",goaty,False,False
Blissful Blocks,cow,"Canada, United States",Cheddar,hard,"creamy, crumbly",plastic,yellow,"creamy, savory, sharp, spicy",aromatic,True,False
Blue Ledge La Luna,goat,United States,Cheddar,"semi-hard, artisan","firm, smooth",waxed,white,"creamy, milky, tangy",grassy,False,False
Boivin Extra Aged Cheddar,cow,Canada,Cheddar,hard,"firm, smooth",rindless,straw,"acidic, buttery","aromatic, sweet",False,False
Boivin Marbled Cheddar,cow,Canada,Cheddar,"semi-soft, processed","firm, smooth",rindless,golden orange,"mild, salty, sweet",buttery,False,False
Boivin Medium Cheddar,cow,Canada,Cheddar,semi-hard,"firm, smooth",rindless,pale yellow,"acidic, buttery","fresh, mild",True,False
Bootlegger,"cow, sheep","Canada, Italy",Cheddar,"hard, artisan","crumbly, firm",natural,pale yellow,"fruity, full-flavored, strong",floral,True,False
Bothwell Black Truffle Cheddar,cow,Canada,Cheddar,semi-hard,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",False,False
Bouncing Berry,cow,United Kingdom,Cheddar,hard,creamy,waxed,pale yellow,fruity,"fresh, spicy",True,False
Braudostur,cow,Iceland,Cheddar,semi-hard,"creamy, dense, smooth, soft-ripened",rindless,white,sweet,strong,False,False
Breakfast Cheese,cow,United States,Cheddar,"fresh firm, soft-ripened","dense, firm",rindless,white,"citrusy, tangy",fresh,True,False
Brightwell Ash,goat,United Kingdom,Cheddar,"semi-firm, artisan",smooth,ash coated,pale white,"citrusy, nutty, tangy",mild,True,False
Broncha,"cow, goat",United States,Cheddar,"semi-hard, artisan",creamy,mold ripened,straw,"creamy, mild","milky, mushroom, pungent",False,False
Buff Blue,buffalo,United States,Cheddar,"firm, blue-veined","elastic, stringy",natural,blue,smokey,"earthy, smokey",False,False
Burgos,"cow, sheep",Spain,Cheddar,fresh soft,creamy,rindless,white,"mild, milky",fresh,False,False
Burwood Bole,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",firm,washed,pale yellow,"lemony, nutty, sweet",nutty,True,False
Butte,cow,France,Cheddar,"soft, soft-ripened",smooth,washed,yellow,"bitter, salty","rich, ripe",False,False
Butterkase,cow,"Austria, Germany",Cheddar,semi-soft,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",goaty,False,False
Butternut,cow,United States,Cheddar,"semi-hard, artisan","creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",False,False
Cabecou Feuille D'Armagnac,goat,France,Cheddar,"fresh soft, artisan",smooth,natural,white,"fruity, spicy, tangy",aromatic,False,False
Cachaille,goat,France,Cheddar,soft,"creamy, elastic, smooth, supple",natural,ivory,"acidic, buttery, creamy, earthy, sweet","pungent, rich",False,False
